Date,Group,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,484631.0,497341.0
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,87780.0,91536.0
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,101969.0,101969.0
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Respiratory failure,J96,All Ages,389094.0,399672.0
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,20266.0,20266.0
01/01/2020-04/30/2022,By Total,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,48720.0,51511.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,181535.0,183563.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,104812.0,112035.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,117824.0,117853.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,75418.0,77163.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Heart failure,I50,All Ages,75635.0,75704.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,48323.0,49830.0
01/01/2020-04/30/2022,By Total,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,72761.0,79961.0
01/01/2020-04/30/2022,By Total,United States,Sepsis,Sepsis,A40-A41,All Ages,99215.0,99253.0
01/01/2020-04/30/2022,By Total,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,52429.0,60065.0
01/01/2020-04/30/2022,By Total,United States,Diabetes,Diabetes,E10-E14,All Ages,149214.0,150204.0
01/01/2020-04/30/2022,By Total,United States,Obesity,Obesity,E65-E68,All Ages,49429.0,49552.0
01/01/2020-04/30/2022,By Total,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,28369.0,28433.0
01/01/2020-04/30/2022,By Total,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,76369.0,76513.0
01/01/2020-04/30/2022,By Total,United States,Renal failure,Renal failure,N17-N19,All Ages,108293.0,113413.0
01/01/2020-04/30/2022,By Total,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,23866.0,44860.0
01/01/2020-04/30/2022,By Total,United States,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,403840.0,627970.0
01/01/2020-04/30/2022,By Total,United States,COVID-19,COVID-19,U071,All Ages,994600.0,994600.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,6439.0,6568.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,1414.0,1462.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,1115.0,1115.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,All Ages,7801.0,7934.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,All Ages,1708.0,1708.0
01/01/2020-04/30/2022,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,799.0,829.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,1962.0,1992.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,1547.0,1660.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,All Ages,3085.0,3086.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,1307.0,1335.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Heart failure,I50,All Ages,1247.0,1249.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,832.0,857.0
01/01/2020-04/30/2022,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,1316.0,1415.0
01/01/2020-04/30/2022,By Total,Alabama,Sepsis,Sepsis,A40-A41,All Ages,2301.0,2302.0
01/01/2020-04/30/2022,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,767.0,851.0
01/01/2020-04/30/2022,By Total,Alabama,Diabetes,Diabetes,E10-E14,All Ages,1998.0,2018.0
01/01/2020-04/30/2022,By Total,Alabama,Obesity,Obesity,E65-E68,All Ages,569.0,569.0
01/01/2020-04/30/2022,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,All Ages,402.0,403.0
01/01/2020-04/30/2022,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,921.0,923.0
01/01/2020-04/30/2022,By Total,Alabama,Renal failure,Renal failure,N17-N19,All Ages,2088.0,2153.0
