,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
0,01-2020,All Sexes,Alabama,14718.0,11411.0,202.0,144885.0
1,01-2020,All Sexes,Alaska,411.0,422.0,0.0,11787.0
2,01-2020,All Sexes,Arizona,20871.0,20423.0,205.0,174985.0
3,01-2020,All Sexes,Arkansas,8616.0,8384.0,118.0,86047.0
4,01-2020,All Sexes,California,75804.0,82577.0,1828.0,726226.0
5,01-2020,All Sexes,Colorado,10792.0,9832.0,217.0,108250.0
6,01-2020,All Sexes,Connecticut,13194.0,6629.0,106.0,84351.0
7,01-2020,All Sexes,Delaware,2213.0,1790.0,10.0,24466.0
8,01-2020,All Sexes,District of Columbia,2093.0,2884.0,0.0,17691.0
9,01-2020,All Sexes,Florida,47481.0,55506.0,950.0,545259.0
10,01-2020,All Sexes,Georgia,23168.0,21309.0,322.0,238416.0
11,01-2020,All Sexes,Hawaii,674.0,1575.0,11.0,26698.0
12,01-2020,All Sexes,Idaho,3145.0,2497.0,23.0,36600.0
13,01-2020,All Sexes,Illinois,36331.0,31330.0,402.0,289435.0
14,01-2020,All Sexes,Indiana,20728.0,19250.0,291.0,178806.0
15,01-2020,All Sexes,Iowa,9963.0,7068.0,143.0,78528.0
16,01-2020,All Sexes,Kansas,7334.0,6167.0,170.0,69493.0
17,01-2020,All Sexes,Kentucky,9742.0,13002.0,236.0,128115.0
18,01-2020,All Sexes,Louisiana,15514.0,12543.0,91.0,131005.0
19,01-2020,All Sexes,Maine,841.0,2015.0,24.0,34536.0
20,01-2020,All Sexes,Maryland,14582.0,12586.0,188.0,135208.0
21,01-2020,All Sexes,Massachusetts,21308.0,15881.0,364.0,152148.0
22,01-2020,All Sexes,Michigan,26590.0,25250.0,519.0,259281.0
23,01-2020,All Sexes,Minnesota,12121.0,9579.0,214.0,115356.0
24,01-2020,All Sexes,Mississippi,11376.0,11185.0,58.0,90520.0
25,01-2020,All Sexes,Missouri,17074.0,14547.0,368.0,172536.0
26,01-2020,All Sexes,Montana,2620.0,2137.0,30.0,26698.0
27,01-2020,All Sexes,Nebraska,4669.0,4058.0,42.0,43654.0
28,01-2020,All Sexes,Nevada,7788.0,9601.0,52.0,71725.0
29,01-2020,All Sexes,New Hampshire,1593.0,1571.0,26.0,29712.0
30,01-2020,All Sexes,New Jersey,39912.0,29038.0,219.0,212854.0
31,01-2020,All Sexes,New Mexico,6393.0,5577.0,67.0,53178.0
32,01-2020,All Sexes,New York,34900.0,32244.0,510.0,263887.0
33,01-2020,All Sexes,New York City,50155.0,28725.0,2326.0,186229.0
34,01-2020,All Sexes,North Carolina,18969.0,21060.0,555.0,250209.0
35,01-2020,All Sexes,North Dakota,2986.0,2499.0,12.0,19575.0
36,01-2020,All Sexes,Ohio,31913.0,27537.0,593.0,324109.0
37,01-2020,All Sexes,Oklahoma,11318.0,11085.0,218.0,105448.0
38,01-2020,All Sexes,Oregon,3338.0,4330.0,94.0,89690.0
39,01-2020,All Sexes,Pennsylvania,38892.0,29158.0,642.0,348012.0
40,01-2020,All Sexes,Puerto Rico,3490.0,9543.0,70.0,71828.0
41,01-2020,All Sexes,Rhode Island,3875.0,2579.0,10.0,26622.0
42,01-2020,All Sexes,South Carolina,12316.0,11959.0,203.0,137627.0
43,01-2020,All Sexes,South Dakota,3445.0,2507.0,12.0,22357.0
44,01-2020,All Sexes,Tennessee,17259.0,20408.0,411.0,203310.0
45,01-2020,All Sexes,Texas,76255.0,71438.0,1133.0,582560.0
46,01-2020,All Sexes,United States,845428.0,776248.0,20786.0,7657799.0
47,01-2020,All Sexes,Utah,3477.0,3533.0,51.0,50301.0
48,01-2020,All Sexes,Vermont,225.0,437.0,0.0,13486.0
49,01-2020,All Sexes,Virginia,13173.0,11833.0,223.0,179463.0
50,01-2020,All Sexes,Washington,7827.0,10949.0,250.0,141486.0
51,01-2020,All Sexes,West Virginia,3201.0,4692.0,66.0,58377.0
52,01-2020,All Sexes,Wisconsin,13182.0,9320.0,273.0,138674.0
53,01-2020,All Sexes,Wyoming,862.0,763.0,0.0,12280.0
54,01-2020,Female,Alabama,6724.0,5084.0,41.0,67620.0
55,01-2020,Female,Alaska,133.0,116.0,0.0,4549.0
56,01-2020,Female,Arizona,8285.0,8259.0,60.0,76567.0
57,01-2020,Female,Arkansas,4054.0,3822.0,43.0,40205.0
