,State,Sex,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
0,Alabama,All Sexes,44012.0,29898.0,213.0,345154.0
1,Alabama,Female,19909.0,13326.0,41.0,160430.0
2,Alabama,Male,23590.0,16115.0,77.0,184452.0
3,Alaska,All Sexes,2466.0,1894.0,0.0,29347.0
4,Alaska,Female,734.0,488.0,0.0,11363.0
5,Alaska,Male,1346.0,982.0,0.0,17013.0
6,Arizona,All Sexes,62170.0,55090.0,228.0,419867.0
7,Arizona,Female,24891.0,22316.0,60.0,182821.0
8,Arizona,Male,36837.0,32295.0,73.0,236673.0
9,Arkansas,All Sexes,24847.0,22444.0,118.0,206026.0
10,Arkansas,Female,11029.0,9812.0,43.0,94923.0
11,Arkansas,Male,13221.0,12207.0,35.0,110785.0
12,California,All Sexes,217854.0,215449.0,1872.0,1712590.0
13,California,Female,86609.0,87983.0,842.0,761575.0
14,California,Male,130842.0,127014.0,898.0,950928.0
15,Colorado,All Sexes,29350.0,25423.0,234.0,254961.0
16,Colorado,Female,11976.0,10105.0,88.0,113693.0
17,Colorado,Male,16906.0,14847.0,64.0,141068.0
18,Connecticut,All Sexes,23209.0,14976.0,106.0,185104.0
19,Connecticut,Female,10810.0,6675.0,44.0,88201.0
20,Connecticut,Male,11839.0,7883.0,36.0,96250.0
21,Delaware,All Sexes,5974.0,5125.0,10.0,57741.0
22,Delaware,Female,2526.0,2026.0,0.0,26261.0
23,Delaware,Male,2892.0,2394.0,0.0,30616.0
24,District of Columbia,All Sexes,4086.0,5077.0,0.0,39566.0
25,District of Columbia,Female,1475.0,1815.0,0.0,16460.0
26,District of Columbia,Male,2143.0,2436.0,0.0,22050.0
27,Florida,All Sexes,157964.0,164192.0,1022.0,1317971.0
28,Florida,Female,67255.0,69799.0,375.0,594106.0
29,Florida,Male,90212.0,93875.0,422.0,723657.0
30,Georgia,All Sexes,74344.0,61292.0,379.0,570069.0
31,Georgia,Female,33550.0,27315.0,143.0,265901.0
32,Georgia,Male,40295.0,33478.0,103.0,303816.0
33,Hawaii,All Sexes,2715.0,4484.0,11.0,64006.0
34,Hawaii,Female,848.0,1472.0,0.0,28018.0
35,Hawaii,Male,1523.0,2292.0,0.0,35188.0
36,Idaho,All Sexes,10715.0,8245.0,23.0,89516.0
37,Idaho,Female,4083.0,3120.0,0.0,40105.0
38,Idaho,Male,6053.0,4470.0,0.0,48625.0
39,Illinois,All Sexes,75872.0,69076.0,402.0,653925.0
40,Illinois,Female,33138.0,30143.0,167.0,305095.0
41,Illinois,Male,42292.0,38364.0,123.0,348414.0
42,Indiana,All Sexes,52103.0,47637.0,336.0,409855.0
43,Indiana,Female,23819.0,20949.0,121.0,191761.0
44,Indiana,Male,27835.0,26208.0,68.0,217811.0
45,Iowa,All Sexes,20484.0,15779.0,170.0,177154.0
46,Iowa,Female,9024.0,6868.0,78.0,83772.0
47,Iowa,Male,10971.0,8573.0,30.0,92736.0
48,Kansas,All Sexes,19394.0,15654.0,192.0,162934.0
49,Kansas,Female,8272.0,6616.0,63.0,75730.0
50,Kansas,Male,10574.0,8598.0,52.0,86671.0
51,Kentucky,All Sexes,36954.0,38333.0,247.0,306567.0
